YT動画名,曲名,アーティスト,YT投稿日,YT再生数,Spotify URL
LISA - ROCKSTAR (Official Music Video),Rockstar,LISA,2024-06-28,256322614,https://open.spotify.com/track/6vvPecFTmWxDfEJ6cYT1wa
ATEEZ(에이티즈) - 'WORK' Official MV,WORK,ATEEZ,2024-05-31,67931618,https://open.spotify.com/track/7p39VUHyey9Zt8VVKHWNkZ
メズマライザー (feat. 初音ミク & 重音テト),メズマライザー (feat. 初音ミク&重音テト),32ki,2024-05-16,14488539,https://open.spotify.com/track/5ic62hKqeDhZsa9l6YQxzJ
aespa 에스파 'Supernova' MV,Supernova,aespa,2024-05-13,167993739,https://open.spotify.com/track/2JhbSmNAyM9kYiqwa8Tpla
ZICO (지코) ‘SPOT! (feat. JENNIE)’ Official MV,SPOT!,ZICO,2024-04-26,117845129,https://open.spotify.com/track/1SS0WlKhJewviwEDZ6dWj0
BE:FIRST / Masterplan -Music Video-,Masterplan,BE:FIRST,2024-04-22,31789872,https://open.spotify.com/track/4Qyv8SKVmvGAO6lR86GEu4
なとり - 絶対零度,絶対零度,natori,2024-04-18,25402927,https://open.spotify.com/track/389rEslJY9vh7TZemIA4y7
Da-iCE /「I wonder」Performance Video,I wonder,Da-iCE,2024-04-17,35774523,https://open.spotify.com/track/0voOaunLYYqPHrsgXbFVlW
Mrs. GREEN APPLE「ライラック」Official Music Video,ライラック,Mrs. GREEN APPLE,2024-04-12,104956482,https://open.spotify.com/track/78W4mTLIh4qoLu92W4IQhO
"米津玄師 - さよーならまたいつか！ Kenshi Yonezu - Sayonara, Mata Itsuka !",さよーならまたいつか！- Sayonara,Kenshi Yonezu,2024-04-11,69563997,https://open.spotify.com/track/6jRyCWUAnRVir3OK4jSZvV
SHEESH,SHEESH,BABYMONSTER,2024-03-31,91025783,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR
ヨルシカ「晴る」×「葬送のフリーレン」SPECIAL MUSIC VIDEO／フリーレンOPテーマアニメMV,晴る,ヨルシカ,2024-03-29,11112983,https://open.spotify.com/track/5eY7692tmgHB9dbmq6wa2M
【MV】HELP!!  - Kobo Kanaeru,HELP!!,Kobo Kanaeru,2024-03-27,22154590,https://open.spotify.com/track/2sb0MPuym9pDaru5M2DHsU
ILLIT (아일릿) ‘Magnetic’ Official MV,Magnetic,ILLIT,2024-03-25,191804440,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG
ME:I (ミーアイ) ⊹ 'Click' Official MV,Click,ME:I,2024-03-25,30374612,https://open.spotify.com/track/2kFUlPHiyXAYMfE0fhoRS4
Magnetic,Magnetic,ILLIT,2024-03-25,171935805,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG
【初音ミク】　ビノミ　【オリジナル】,ビノミ,Maretu,2024-03-23,17498698,https://open.spotify.com/track/49bsbofZEsB6ukmIHwuqpu
ビビデバ / 星街すいせい(official),ビビデバ,Hoshimachi Suisei,2024-03-22,113977910,https://open.spotify.com/track/0Gp8MWnUzS5V2lvTr25c2A
【MV】M@GICAL☆CURE! LOVE ♥ SHOT! / SAWTOWNE feat. Hatsune Miku,M@GICAL CURE! LOVE SHOT! (feat. Hatsune Miku),SAWTOWNE,2024-03-22,14960035,https://open.spotify.com/track/63yoRZd5zl6Ah30hfDm97k
V ‘FRI(END)S’ Official MV,FRI(END)S,V,2024-03-15,57948149,https://open.spotify.com/track/0PBTlQ84CBJF0tBnKGmQa6
アンノウン・マザーグース / Hoshimatic Project(Cover),アンノウン・マザーグース,HIMEHINA,2024-03-09,18852261,https://open.spotify.com/track/169O19aSRDWIX0XnI7vzPv
LE SSERAFIM (르세라핌) 'Smart' OFFICIAL MV,Smart,LE SSERAFIM,2024-03-05,129752668,https://open.spotify.com/track/3lwK3WyKAI5bUuGY1OgGbZ
Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,Bling-Bang-Bang-Born,Creepy Nuts,2024-03-03,312035095,https://open.spotify.com/track/0kdqcbwei4MDWFEX5f33yG
FZMZ - Danger Danger (Anime Music Video) / TVアニメ「シャングリラ・フロンティア」第2クール OPテーマ,Danger Danger,FZMZ,2024-02-25,10193386,https://open.spotify.com/track/5gqz5wxNy7JMV9TJo220L1
タイムパラドックス (『映画ドラえもん のび太の地球交響楽』主題歌) / Vaundy：MUSIC VIDEO,タイムパラドックス,Vaundy,2024-02-24,45923151,https://open.spotify.com/track/3jNwPOqdPvQIr5dRT0hzgY
SPYAIR『オレンジ』Music Video（『劇場版ハイキュー!! ゴミ捨て場の決戦』主題歌）,オレンジ,SPYAIR,2024-02-17,35614841,https://open.spotify.com/track/6M6ZNRplLNspFEn6Ab3mOv
千葉雄喜 - チーム友達 (Official Music Video),チーム友達,千葉雄喜,2024-02-12,13416445,https://open.spotify.com/track/36gWxkPpsHBF5SUhW3EGaA
西川貴教 with t.komuro - FREEDOM × 『機動戦士ガンダムSEED FREEDOM』 Collaboration Music Video,FREEDOM,Takanori Nishikawa,2024-02-09,23565669,https://open.spotify.com/track/3MBNF3aevdp5vmfepYahNu
Omoinotake | 幾億光年 【Official Music Video】,幾億光年,Omoinotake,2024-02-06,81846610,https://open.spotify.com/track/4dmruTsdHIOjfOIeaFitXK
"TWICE ""I GOT YOU"" M/V",I GOT YOU,TWICE,2024-02-02,38127579,https://open.spotify.com/track/7cl2rrUX3x8GVDF7Du2Bnf
BABYMONSTER - 'Stuck In The Middle' M/V,Stuck In The Middle,BABYMONSTER,2024-01-31,127470320,https://open.spotify.com/track/1Ad4anaX6hJyfZvVDkrKQg
(여자)아이들((G)I-DLE) - 'Super Lady' Official Music Video,Super Lady,(G)I-DLE,2024-01-29,119754084,https://open.spotify.com/track/105qee9D4ARiRZPZDvGDoH
IU 'Love wins all' MV,Love wins all,IU,2024-01-23,86903551,https://open.spotify.com/track/0djkJ3iAARXRCbfbwwVc3o
(여자)아이들((G)I-DLE) - 'Wife' Official Music Video,Wife,(G)I-DLE,2024-01-21,81814786,https://open.spotify.com/track/6QSn1alfesmczs3XyuAQM6
【Official】Uru 「アンビバレント」 TVアニメ『薬屋のひとりごと』第2クールOPテーマ,薬屋,神前 暁,2024-01-19,13103359,https://open.spotify.com/track/4arlrl6pL2C1lfYN9E4rKd
Sunny,Sunny Day Sunday,Sentimental Bus,2024-01-04,48116738,https://open.spotify.com/track/0f6yrOu2OBqzbPXOXjiWey
tuki.『晩餐歌』Official Music Video,晩餐歌,tuki.,2023-12-24,98955784,https://open.spotify.com/track/2cxcqKwQtfKq7giphxjzOu
Giga - ガッチュー！ ft.Miku・Rin・Len【MV】,ガッチュー！ (feat. 初音ミク&鏡音リン&鏡音レン),Giga,2023-12-15,11824438,https://open.spotify.com/track/1jvRRj23Uwk5hr0UcCVn5V
정국 (Jung Kook) 'Hate You' Official Visualizer,Hate You,Jung Kook,2023-12-09,46263657,https://open.spotify.com/track/5ONOlTiqymhzwcFjqcIT6E
Snow Man「僕という名のドラマ」1st DOME tour 2023 i DO ME Ver.,ドラマ,C&K,2023-12-06,12815704,https://open.spotify.com/track/7mv4yexCdlJioREIarNepV
福山雅治 - 想望（映画『あの花が咲く丘で、君とまた出会えたら。』Inspire Movie）※NHK紅白歌合戦歌唱曲,想望,Masaharu Fukuyama,2023-12-04,13399763,https://open.spotify.com/track/2jTXs5PwRmPRWyJQ4lKfIR
オーバーライド - 重音テトSV[吉田夜世],オーバーライド,吉田夜世,2023-11-29,58269624,https://open.spotify.com/track/6HznFPNdvbxgzm5jJyNlwp
"Stray Kids ""MEGAVERSE"" Video",MEGAVERSE,Stray Kids,2023-11-19,78019155,https://open.spotify.com/track/3USu1p2lKTzoKFIRDeeJf8
FZMZ - BROKEN GAMES (Anime Music Video) / TVアニメ「シャングリラ・フロンティア」OPテーマ,BROKEN GAMES,FZMZ,2023-11-19,12879542,https://open.spotify.com/track/77OLrw9sVVNHxnceM9q1i5
ENHYPEN (엔하이픈) 'Sweet Venom' Official MV,Sweet Venom,ENHYPEN,2023-11-17,68397172,https://open.spotify.com/track/2YmfV4lAjrAQvuggKCUX6m
緑黄色社会『花になって』Official Video / Ryokuoushoku Shakai – Be a flower,花になって - Be a flower,Ryokuoushoku Shakai,2023-11-15,49007240,https://open.spotify.com/track/2EmkTBTh964LQen4Vz0svg
Drama,Drama,aespa,2023-11-10,146934203,https://open.spotify.com/track/5XWlyfo0kZ8LF7VSyfS4Ew
のだ / ずんだもん・初音ミク・重音テト,のだ,大漠波新,2023-11-06,18009797,https://open.spotify.com/track/20wDwTj4l9Uq5e7mz7lb7z
LE SSERAFIM (르세라핌) 'Perfect Night' OFFICIAL M/V with OVERWATCH 2,Perfect Night,LE SSERAFIM,2023-10-27,113764601,https://open.spotify.com/track/74X2u8JMVooG2QbjRxXwR8
ATARASHII GAKKO! - Tokyo Calling (Official Music Video),Tokyo Calling,ATARASHII GAKKO!,2023-10-20,16482470,https://open.spotify.com/track/2ZVDVwltoFAwqdhCxbvdKg
SEKAI NO OWARI「最高到達点」ONE PIECE リリックMV,最高到達点,SEKAI NO OWARI,2023-10-14,65182359,https://open.spotify.com/track/2LGHS7ojlzMd2xkLrB7eTr
トドメの一撃 feat. Cory Wong  (TVアニメ『SPY×FAMILY』Season 2 エンディング主題歌) / Vaundy：MUSIC VIDEO,トドメの一撃,Vaundy,2023-10-07,15974597,https://open.spotify.com/track/7sd09c4dFK5dLHRsySex9L
JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO,You & Me,JENNIE,2023-10-06,200830657,https://open.spotify.com/track/6xXCn7H2Yl8SDD6jxo5SpN
milet「Anytime Anywhere」MUSIC VIDEO (TVアニメ『葬送のフリーレン』エンディングテーマ),Anytime Anywhere,milet,2023-10-06,24637852,https://open.spotify.com/track/7FeEiAWqWScpMFnlLSUvX2
YOASOBI「勇者」 Official Music Video／TVアニメ『葬送のフリーレン』オープニングテーマ,勇者,YOASOBI,2023-09-29,150331773,https://open.spotify.com/track/0YTM7bCx451c6LQbkddy4Q
정국 (Jung Kook) '3D (feat. Jack Harlow)' Official MV,3D (feat. Jack Harlow),Jung Kook,2023-09-29,214029159,https://open.spotify.com/track/01qFKNWq73UfEslI0GvumE
【オリジナル楽曲】粛聖!! ロリ神レクイエム☆ / しぐれうい（9さい）【IOSYS（まろん&D.watt）】,粛聖!! ロリ神レクイエム☆,しぐれうい,2023-09-10,117339188,https://open.spotify.com/track/7jEpM9sB8FZFkMYmK8rtev
V 'Slow Dancing' Official MV,Slow Dancing,V,2023-09-08,63974912,https://open.spotify.com/track/5h1BN75CEh8wdSwE1xrbSe
羊文学 - more than words (Official Music Video) [TVアニメ『呪術廻戦』「渋谷事変」エンディングテーマ],more than words,Hitsujibungaku,2023-09-07,43808369,https://open.spotify.com/track/2ZT6eELxeETGamaiXu6vmk
【Ado】 唱,唱,Ado,2023-09-06,213583445,https://open.spotify.com/track/7o0TPSw494RG2Q4iWmd1v6
"混沌ブギ / jon-YAKITORY, 初音ミク -Konton Boogie / jon-YAKITORY, Hatsune Miku-",混沌ブギ,jon-YAKITORY,2023-08-30,52818550,https://open.spotify.com/track/5zc1HxKqQjGf9j46p1JM5P
BLACKPINK THE GAME - ‘THE GIRLS’ MV,THE GIRLS - BLACKPINK THE GAME OST,BLACKPINK,2023-08-25,108375050,https://open.spotify.com/track/1mFpMoeZfkIqtqW2AfQ8ba
V 'Rainy Days' Official MV,Rainy Days,V,2023-08-11,62046391,https://open.spotify.com/track/5ydjxBSUIDn26MFzU3asP4
V 'Love Me Again' Official MV,Love Me Again,V,2023-08-09,110241820,https://open.spotify.com/track/2N0SPREDYqILVEFSsWF5N5
JEON SOMI (전소미) - ‘Fast Forward’ M/V,Fast Forward,JEON SOMI,2023-08-07,87984366,https://open.spotify.com/track/2tOrzc62tOqpf1QX1QKZbe
米津玄師  - 地球儀　Kenshi Yonezu - Spinning Globe,地球儀 - Spinning Globe,Kenshi Yonezu,2023-07-25,37915545,https://open.spotify.com/track/6x7SB38tuekpu4xpH9OIPY
NewJeans (뉴진스) 'ETA' Official MV,ETA,NewJeans,2023-07-21,93011114,https://open.spotify.com/track/56v8WEnGzLByGsDAXDiv4d
정국 (Jung Kook) 'Seven (feat. Latto)' Official MV,Seven (feat. Latto),Jung Kook,2023-07-14,478632970,https://open.spotify.com/track/7x9aauaA9cu6tyfpHnqDLo
NewJeans (뉴진스) 'Super Shy' Official MV,New Jeans,NewJeans,2023-07-07,227617710,https://open.spotify.com/track/6rdkCkjk6D12xRpdMXy0I2
Still With You,Still With You,Jung Kook,2023-07-03,73526957,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7
One Of The Girls,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,2023-06-23,180384692,https://open.spotify.com/track/7CyPwkp0oE8Ro9Dd5CUDjW
【鈴木愛理が『アイドル』完全歌唱】YOASOBIの「アイドル」をフル尺パフォーマンス！【アニソン神曲カバーでしょdeショー‼】,アイドル,YOASOBI,2023-06-10,16652233,https://open.spotify.com/track/1hAloWiinXLPQUJxrJReb1
MAN WITH A MISSION×milet - 絆ノ奇跡 / THE FIRST TAKE,絆ノ奇跡,MAN WITH A MISSION,2023-06-02,39742725,https://open.spotify.com/track/2VBLFxCUyFp5BfmsZpxcis
【Official】Uru『心得』 フジテレビ系月9ドラマ『風間公親－教場０－』主題歌,心得,Uru,2023-05-29,18037574,https://open.spotify.com/track/2hPBIYQeqpbQWSMAM9ln1w
ENHYPEN (엔하이픈) 'Bite Me' Official MV,Bite Me,ENHYPEN,2023-05-22,144487943,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa
DECO*27 - ラビットホール feat. 初音ミク,ラビットホール,DECO*27,2023-05-19,78013839,https://open.spotify.com/track/0kCRrfk1WV7QMnlxqhpwV9
女王蜂『メフィスト(Mephisto)』Official MV,メフィスト,QUEEN BEE,2023-05-17,19667657,https://open.spotify.com/track/45LUKiex0D78VuhP3Oz6mG
(여자)아이들((G)I-DLE) - '퀸카 (Queencard)' Official Music Video,Queencard,(G)I-DLE,2023-05-15,377367301,https://open.spotify.com/track/68r87x3VZdAMhv8nBVuynz
BABYMONSTER - 'DREAM' (PRE-DEBUT SONG),DREAM,BABYMONSTER,2023-05-13,73201437,https://open.spotify.com/track/580sy6eZ6j0LrjvayPKD0k
Calm Down,Calm Down (with Selena Gomez),Rema,2023-04-27,95556831,https://open.spotify.com/track/0WtM2NBVQNNJLh6scP13H8
Mrs. GREEN APPLE「ケセラセラ」Official Music Video,ケセラセラ,Mrs. GREEN APPLE,2023-04-25,81625740,https://open.spotify.com/track/0teqQ0PYqVDyyXJuPOyMhu
Official髭男dism - TATTOO [Official Video],TATTOO,OFFICIAL HIGE DANDISM,2023-04-20,34796993,https://open.spotify.com/track/66hblHI9wl1Nim70ZYLb6D
YOASOBI「アイドル」 Official Music Video,アイドル,YOASOBI,2023-04-12,566237154,https://open.spotify.com/track/1hAloWiinXLPQUJxrJReb1
スピッツ / 美しい鰭　Spitz / Beautiful Fin,美しい鰭,SPITZ,2023-04-10,31085038,https://open.spotify.com/track/1H3qOzheTPhE7aVvJOWfvA
【鈴木愛理がメイド姿で歌う「可愛くてごめん」】TikTokで話題！ちゅーたんのキャラソンを初カバー！【アニソン神曲カバーでしょdeショー‼】,可愛くてごめん,HoneyWorks,2023-04-01,11883877,https://open.spotify.com/track/08Eb6W0AC4WV4hMFATZqoY
꽃 (FLOWER),FLOWER,JISOO,2023-03-31,157191486,https://open.spotify.com/track/0bC7GKnxh9W9JIvJ6HVWxc
YOASOBI「セブンティーン」Official Music Video,セブンティーン,YOASOBI,2023-03-27,31388044,https://open.spotify.com/track/62q2gPY4OnQCGnw7T4JWg1
지민 (Jimin) 'Like Crazy' Official MV,Like Crazy,Jimin,2023-03-24,157488044,https://open.spotify.com/track/3Ua0m0YmEjrMi9XErKcNiR
ATARASHII GAKKO! - OTONABLUE (Official Choreography Video),OTONABLUE (English),Skinny Hamster,2023-03-21,20091822,https://open.spotify.com/track/14zhhDlSBBQRR8yVLq3rYl
"NMIXX ""Love Me Like This"" M/V",Love Me Like This,NMIXX,2023-03-20,96225625,https://open.spotify.com/track/2W8UduoifU1zgjKZlfY79S
Yukopi - 強風オールバック (feat.歌愛ユキ),強風オールバック,ゆこぴ,2023-03-15,102877472,https://open.spotify.com/track/4pBQGAV1bm6xqFcZL2yGSM
"TWICE ""SET ME FREE"" M/V",SET ME FREE,TWICE,2023-03-10,115380382,https://open.spotify.com/track/1Zr1SoGePJ3iKKakmmZaMR
水死体は恋したい - LonePi feat.初音ミク,水死体は恋したい,LonePi,2023-03-04,11243087,https://open.spotify.com/track/4NVjYs3gv5bjZZNrZBoXWQ
Snow Man「W」Music Video YouTube Ver.,Whiplash,aespa,2023-03-01,37872291,https://open.spotify.com/track/7Cnpb1vBbC46RgVyyKLH7p
FIFTY FIFTY (피프티피프티) - 'Cupid'  Official MV,Cupid,FIFTY FIFTY,2023-02-23,200755887,https://open.spotify.com/track/4TqmTBSWsZXMj3LouLEvXn
ピノキオピー - 匿名M feat. 初音ミク・ARuFa / Anonymous M,匿名M,PinocchioP,2023-02-17,41984747,https://open.spotify.com/track/4Hafd3Sey5qaQY2FRPldSN
Snow Man「タペストリー」Music Video,Icy,Gucci Mane,2023-02-14,73418165,https://open.spotify.com/track/03kHwM7Pw1enUD2r2FuOYP
花に風／初音ミク,花に風,バルーン,2023-02-10,13431569,https://open.spotify.com/track/3SOSqAmO4m7rzC2zbnqwU6
星街すいせい - Stellar Stellar / THE FIRST TAKE,Stellar Stellar,Hoshimachi Suisei,2023-01-20,18029770,https://open.spotify.com/track/49eoYE7NEePlYRgooGOF23
小さな恋のうた,小さな恋のうた,MONGOL800,2023-01-14,10000086,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
TAEYANG - 'VIBE (feat. Jimin of BTS)' M/V,VIBE (feat. Jimin of BTS),TAEYANG,2023-01-13,155711772,https://open.spotify.com/track/14XLUySagFhP9KoqOTg5ka
NewJeans (뉴진스) 'OMG' Official MV (Performance ver.1),OMG,NewJeans,2023-01-03,303246336,https://open.spotify.com/track/65FftemJ1DbbZ45DUfHJXE
10-FEET – 第ゼロ感（映画『THE FIRST SLAM DUNK』エンディング主題歌）,第ゼロ感,10-FEET,2022-12-14,76538832,https://open.spotify.com/track/6zjk7Qbwb9DZ4ykUUoqknh
Diana y Roma en el reto Morado Vs Naranja,Naranja,ROGER SOUND,2022-12-12,115948458,https://open.spotify.com/track/10g539uUkLQgSsDsA7zayX
The Birthday - LOVE ROCKETS【MV】(映画『THE FIRST SLAM DUNK』オープニング主題歌),LOVE ROCKETS,The Birthday,2022-12-03,12637508,https://open.spotify.com/track/6stn0schvLBMoRHsDeYiIi
ITZY “Cheshire” M/V @ITZY,Cheshire,ITZY,2022-11-30,162416487,https://open.spotify.com/track/1LJT4ctFlHUSVsfZqMeaz0
"Kenshi Yonezu - KICK BACK（Live with Daiki Tsuneta）""Chainsaw Man"" OP",KICK BACK,Kenshi Yonezu,2022-11-22,28932047,https://open.spotify.com/track/7oYCBKvdjrqp5vDbhDBuac
可愛くてごめん feat. ちゅーたん（CV：早見沙織）／HoneyWorks,可愛くてごめん,HoneyWorks,2022-11-18,149071716,https://open.spotify.com/track/08Eb6W0AC4WV4hMFATZqoY
Extreme Try Not To Laugh Challenge!,XTREME,USAO,2022-11-03,88162848,https://open.spotify.com/track/42JqzutCguOVzkzOJGCL1W
Mrs. GREEN APPLE「Soranji」Official Music Video,Soranji,Mrs. GREEN APPLE,2022-11-02,76669844,https://open.spotify.com/track/3YML5IHoqWbw9c9vJJvrvM
Official髭男dism - Subtitle [Official Video],Subtitle,OFFICIAL HIGE DANDISM,2022-10-27,157042523,https://open.spotify.com/track/5ZkHkXPHrIM8K5twCe78i9
米津玄師 Kenshi Yonezu - KICKBACK,KICK BACK,Kenshi Yonezu,2022-10-25,185177587,https://open.spotify.com/track/7oYCBKvdjrqp5vDbhDBuac
back number - アイラブユー  (NHK連続テレビ小説『舞いあがれ！』主題歌),アイラブユー,back number,2022-10-24,42050180,https://open.spotify.com/track/34ayWAUrQcrjlKZOJAzqke
King & Prince「ツキヨミ」MV YouTube Edit,ツキヨミ,King & Prince,2022-10-11,177823735,https://open.spotify.com/track/0n0KYkqU872R2y7B5FbDJX
おくすり飲んで寝よう / 初音ミク - もちうつね,おくすり飲んで寝よう (feat. 初音ミク),もちうつね,2022-10-09,10330926,https://open.spotify.com/track/23sqKo7k0yPQtViKR8cRfi
yama『色彩』MV（TVアニメ「SPYxFAMILY」第2クールエンディング主題歌）,色彩,yama,2022-10-03,23120188,https://open.spotify.com/track/5H37zP5tQCneoCRJEMRcnV
YOASOBI「祝福」Official Music Video (『機動戦士ガンダム 水星の魔女』オープニングテーマ),祝福,YOASOBI,2022-10-02,137988026,https://open.spotify.com/track/1VoTe7qVyqyMNLgZpQeugO
Unholy,Unholy (feat. Kim Petras),Sam Smith,2022-09-22,237359275,https://open.spotify.com/track/3nqQXoyQOWXiESFLlDF1hG
BLACKPINK - ‘Shut Down’ M/V,pink,shytaupe,2022-09-16,698010039,https://open.spotify.com/track/6JNMtRTX2aEuKeK0JN74TP
"Rema, Selena Gomez - Calm Down (Official Music Video)",Calm Down,Rema,2022-09-07,1050909040,https://open.spotify.com/track/6hgoYQDUcPyCz7LcTUHKxa
